base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,K,K_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_K,cumulative_frac_diff_K,frac_diff_K_D,cumulative_frac_diff_K_D
AA,13.830511,13.932373,15.234639,15.234538,15.234639,15.234538,15.234639,15.234538,15.234639,15.234538,-0.3414042380952381,-0.3414042380952381,-0.33655366666666664,-0.33655366666666664,-0.27454100000000004,-0.27454100000000004,-0.27454580952380947,-0.27454580952380947,-0.27454100000000004,-0.27454100000000004,-0.27454580952380947,-0.27454580952380947,-0.27454100000000004,-0.27454100000000004,-0.27454580952380947,-0.27454580952380947,-0.27454100000000004,-0.27454100000000004,-0.27454580952380947,-0.27454580952380947
AI,13.830511,13.932373,15.234639,15.234538,15.234639,15.234538,15.234639,15.234538,15.234629,15.234528,-0.3414042380952381,-0.6828084761904762,-0.33655366666666664,-0.6731073333333333,-0.27454100000000004,-0.5490820000000001,-0.27454580952380947,-0.5490916190476189,-0.27454100000000004,-0.5490820000000001,-0.27454580952380947,-0.5490916190476189,-0.27454100000000004,-0.5490820000000001,-0.27454580952380947,-0.5490916190476189,-0.2745414761904762,-0.5490824761904762,-0.27454628571428574,-0.5490920952380952
AP,13.830508,13.932372,15.234629,15.234528,15.234629,15.234528,15.234624,15.234523,15.234639,15.234538,-0.34140438095238096,-1.0242128571428573,-0.33655371428571423,-1.0096610476190475,-0.2745414761904762,-0.8236234761904763,-0.27454628571428574,-0.8236379047619047,-0.2745414761904762,-0.8236234761904763,-0.27454628571428574,-0.8236379047619047,-0.2745417142857143,-0.8236237142857143,-0.2745465238095238,-0.8236381428571428,-0.27454100000000004,-0.8236234761904763,-0.27454580952380947,-0.8236379047619047
AB,13.775823,13.775728,14.396322,14.396223,14.396319,14.396221,14.396322,14.396223,14.396322,14.396223,-0.34400842857142855,-1.3682212857142857,-0.34401295238095236,-1.3536739999999998,-0.31446085714285715,-1.1380843333333335,-0.3144655714285714,-1.138103476190476,-0.314461,-1.1380844761904763,-0.31446566666666664,-1.1381035714285712,-0.31446085714285715,-1.1380845714285714,-0.3144655714285714,-1.1381037142857142,-0.31446085714285715,-1.1380843333333335,-0.3144655714285714,-1.138103476190476
AG,6.8234615,13.245029,14.396322,14.396223,14.396322,14.396223,14.396319,14.396221,14.396322,14.396223,-0.6750732619047619,-2.0432945476190474,-0.3692843333333333,-1.7229583333333331,-0.31446085714285715,-1.4525451904761906,-0.3144655714285714,-1.4525690476190474,-0.31446085714285715,-1.4525453333333334,-0.3144655714285714,-1.4525691428571426,-0.314461,-1.4525455714285713,-0.31446566666666664,-1.4525693809523808,-0.31446085714285715,-1.4525451904761906,-0.3144655714285714,-1.4525690476190474
AJ,13.775823,13.775728,14.396322,14.396223,14.396322,14.396223,14.396319,14.396221,14.396322,14.396223,-0.34400842857142855,-2.387302976190476,-0.34401295238095236,-2.0669712857142857,-0.31446085714285715,-1.7670060476190477,-0.3144655714285714,-1.7670346190476187,-0.31446085714285715,-1.7670061904761905,-0.3144655714285714,-1.767034714285714,-0.314461,-1.7670065714285714,-0.31446566666666664,-1.7670350476190473,-0.31446085714285715,-1.7670060476190477,-0.3144655714285714,-1.7670346190476187
AS,13.775822,13.775727,14.396319,14.396221,14.396322,14.396223,14.396322,14.396223,14.396322,14.396223,-0.3440084761904762,-2.731311452380952,-0.344013,-2.4109842857142856,-0.314461,-2.0814670476190478,-0.31446566666666664,-2.0815002857142852,-0.31446085714285715,-2.0814670476190478,-0.3144655714285714,-2.0815002857142852,-0.31446085714285715,-2.0814674285714285,-0.3144655714285714,-2.0815006190476186,-0.31446085714285715,-2.0814669047619048,-0.3144655714285714,-2.08150019047619
AX,6.8234606,13.2450285,14.396319,14.396221,14.396315,14.396217,14.396315,14.396217,14.396315,14.396217,-0.6750733047619047,-3.406384757142857,-0.3692843571428571,-2.7802686428571426,-0.314461,-2.395928047619048,-0.31446566666666664,-2.395965952380952,-0.3144611904761905,-2.3959282380952382,-0.31446585714285713,-2.3959661428571426,-0.3144611904761905,-2.395928619047619,-0.31446585714285713,-2.395966476190476,-0.3144611904761905,-2.3959280952380952,-0.31446585714285713,-2.395966047619047
AC,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,-0.34767076190476187,-3.754055519047619,-0.3476752857142857,-3.1279439285714283,-0.34767076190476187,-2.7435988095238097,-0.3476752857142857,-2.7436412380952375,-0.34767076190476187,-2.743599,-0.3476752857142857,-2.7436414285714283,-0.34767076190476187,-2.743599380952381,-0.3476752857142857,-2.7436417619047617,-0.34767076190476187,-2.743598857142857,-0.3476752857142857,-2.7436413333333327
AD,6.7690415,8.985511,7.625225,9.247164,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,-0.6776646904761905,-4.431720209523809,-0.5721185238095238,-3.700062452380952,-0.6368940476190476,-3.3804928571428574,-0.5596588571428571,-3.303300095238095,-0.34767076190476187,-3.091269761904762,-0.3476752857142857,-3.091316714285714,-0.34767076190476187,-3.0912701428571427,-0.3476752857142857,-3.0913170476190475,-0.34767076190476187,-3.091269619047619,-0.3476752857142857,-3.0913166190476185
AH,0.0,12.871295,13.698914,13.698819,7.625225,9.24716,7.625225,9.247164,13.698914,13.698819,-1.0,-5.431720209523809,-0.3870811904761905,-4.087143642857143,-0.34767076190476187,-3.7281636190476193,-0.3476752857142857,-3.6509753809523806,-0.6368940476190476,-3.7281638095238097,-0.5596590476190476,-3.650975761904762,-0.6368940476190476,-3.7281641904761904,-0.5596588571428571,-3.6509759047619044,-0.34767076190476187,-3.438940380952381,-0.3476752857142857,-3.438991904761904
AK,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,13.698914,13.698819,-0.34767076190476187,-5.779390971428571,-0.3476752857142857,-4.434818928571429,-0.34767076190476187,-4.075834380952381,-0.3476752857142857,-3.9986506666666664,-0.34767076190476187,-4.0758345714285715,-0.3476752857142857,-3.9986510476190475,-0.34767076190476187,-4.075834952380952,-0.3476752857142857,-3.99865119047619,-0.34767076190476187,-3.7866111428571427,-0.3476752857142857,-3.78666719047619
AL,6.7001805,8.960708,7.5189238,9.196348,7.5189238,8.541202,7.5189357,8.541202,7.5189357,8.541194,-0.6809437857142857,-6.460334757142856,-0.5732996190476191,-5.0081185476190475,-0.6419560095238095,-4.717790390476191,-0.5620786666666666,-4.560729333333333,-0.6419560095238095,-4.717790580952381,-0.5932760952380952,-4.591927142857143,-0.6419554428571429,-4.7177903952380955,-0.5932760952380952,-4.591927285714285,-0.6419554428571429,-4.428566585714286,-0.5932764761904762,-4.379943666666666
AN,6.7001805,8.960708,7.5189238,9.19635,7.5189238,8.541202,7.5189238,8.541202,7.5189238,8.541202,-0.6809437857142857,-7.141278542857142,-0.5732996190476191,-5.5814181666666665,-0.6419560095238095,-5.359746400000001,-0.5620785714285714,-5.122807904761904,-0.6419560095238095,-5.359746590476191,-0.5932760952380952,-5.185203238095238,-0.6419560095238095,-5.359746404761905,-0.5932760952380952,-5.18520338095238,-0.6419560095238095,-5.070522595238096,-0.5932760952380952,-4.973219761904761
AQ,6.714617,6.7145247,7.112539,7.1124415,7.5189357,8.541194,7.5189357,8.541194,7.5189357,8.541194,-0.6802563333333334,-7.8215348761904755,-0.6802607285714286,-6.261678895238095,-0.6613076666666666,-6.021054066666667,-0.6613123095238096,-5.784120214285714,-0.6419554428571429,-6.001702033333334,-0.5932764761904762,-5.778479714285714,-0.6419554428571429,-6.0017018476190485,-0.5932764761904762,-5.778479857142856,-0.6419554428571429,-5.712478038095239,-0.5932764761904762,-5.566496238095237
