base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,KV,KV_D,KH,KH_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_KV,cumulative_frac_diff_KV,frac_diff_KV_D,cumulative_frac_diff_KV_D,frac_diff_KH,cumulative_frac_diff_KH,frac_diff_KH_D,cumulative_frac_diff_KH_D
AA,46.307358,49.74628,50.828743,50.828156,50.828743,50.828476,50.828743,50.828476,50.828743,50.828476,50.828743,50.828476,-0.2396164532019705,-0.2396164532019705,-0.1831481116584566,-0.1831481116584566,-0.16537367816091958,-0.16537367816091958,-0.16538331691297217,-0.16538331691297217,-0.16537367816091958,-0.16537367816091958,-0.1653780623973728,-0.1653780623973728,-0.16537367816091958,-0.16537367816091958,-0.1653780623973728,-0.1653780623973728,-0.16537367816091958,-0.16537367816091958,-0.1653780623973728,-0.1653780623973728,-0.16537367816091958,-0.16537367816091958,-0.1653780623973728,-0.1653780623973728
AW,46.307358,49.74629,50.82878,50.82819,50.82876,50.828487,50.82876,50.828487,50.828815,50.82855,50.828815,50.828487,-0.2396164532019705,-0.479232906403941,-0.18314794745484406,-0.36629605911330065,-0.1653730706075534,-0.330746748768473,-0.16538275862068974,-0.3307660755336619,-0.16537339901477835,-0.33074707717569796,-0.16537788177339904,-0.3307559441707718,-0.16537339901477835,-0.33074707717569796,-0.16537788177339904,-0.3307559441707718,-0.1653724958949098,-0.3307461740558294,-0.16537684729064048,-0.33075490968801324,-0.1653724958949098,-0.3307461740558294,-0.16537788177339904,-0.3307559441707718
BA,46.307358,49.74628,50.828743,50.828156,50.828743,50.828476,50.82876,50.828487,50.828743,50.828476,50.828743,50.828476,-0.2396164532019705,-0.7188493596059116,-0.1831481116584566,-0.5494441707717572,-0.16537367816091958,-0.49612042692939257,-0.16538331691297217,-0.49614939244663403,-0.16537367816091958,-0.49612075533661754,-0.1653780623973728,-0.4961340065681446,-0.16537339901477835,-0.4961204761904763,-0.16537788177339904,-0.4961338259441709,-0.16537367816091958,-0.496119852216749,-0.1653780623973728,-0.49613297208538604,-0.16537367816091958,-0.496119852216749,-0.1653780623973728,-0.4961340065681446
AB,34.73546,46.174534,39.46281,44.871548,39.46297,44.789238,39.46297,44.789238,49.322758,49.32252,49.322758,49.32252,-0.4296311986863711,-1.1484805582922828,-0.24179747126436787,-0.7912416420361251,-0.3520064039408868,-0.8481268308702794,-0.263192972085386,-0.7593423645320201,-0.35200377668308713,-0.8481245320197046,-0.26454453201970457,-0.7606785385878492,-0.35200377668308713,-0.8481242528735634,-0.26454453201970457,-0.7606783579638754,-0.19010249589490977,-0.6862223481116587,-0.19010640394088682,-0.6862393760262728,-0.19010249589490977,-0.6862223481116587,-0.19010640394088682,-0.6862404105090314
AP,34.73546,47.423393,49.322758,49.322186,39.462852,44.789276,39.46281,44.78928,49.32277,49.322536,49.32277,49.32255,-0.4296311986863711,-1.5781117569786538,-0.22129075533661752,-1.0125323973727427,-0.19010249589490977,-1.0382293267651892,-0.19011188834154355,-0.9494542528735637,-0.35200571428571437,-1.2001302463054189,-0.26454390804597705,-1.0252224466338262,-0.3520064039408868,-1.20013065681445,-0.2645438423645321,-1.0252222003284075,-0.1901022988505748,-0.8763246469622336,-0.19010614121510683,-0.8763455172413797,-0.1901022988505748,-0.8763246469622336,-0.19010591133004934,-0.8763463218390808
BB,34.735466,46.174534,39.462852,44.871586,39.462852,44.789276,39.462826,44.789276,49.32277,49.322536,49.32277,49.32255,-0.42963110016420364,-2.0077428571428575,-0.24179747126436787,-1.2543298686371105,-0.35200571428571437,-1.3902350410509037,-0.26319234811165854,-1.2126466009852221,-0.35200571428571437,-1.5521359605911331,-0.26454390804597705,-1.2897663546798033,-0.3520061412151068,-1.5521367980295568,-0.26454390804597705,-1.2897661083743845,-0.1901022988505748,-1.0664269458128084,-0.19010614121510683,-1.0664516584564865,-0.1901022988505748,-1.0664269458128084,-0.19010591133004934,-1.0664522331691302
BP,34.73548,47.423397,49.322807,49.322235,49.32277,49.322536,39.46297,44.789238,49.322758,49.32252,49.322758,49.322536,-0.42963087027914615,-2.4373737274220035,-0.22129068965517246,-1.475620558292283,-0.19010169129720866,-1.5803367323481123,-0.19011108374384245,-1.4027576847290646,-0.1901022988505748,-1.7422382594417078,-0.19010614121510683,-1.47987249589491,-0.35200377668308713,-1.904140574712644,-0.26454453201970457,-1.5543106403940892,-0.19010249589490977,-1.2565294417077182,-0.19010640394088682,-1.2565580623973733,-0.19010249589490977,-1.2565294417077182,-0.19010614121510683,-1.256558374384237
BZ,34.73546,46.17454,39.46281,44.871548,49.32279,49.32255,49.322807,49.322575,49.32277,49.322536,49.32277,49.32255,-0.4296311986863711,-2.8670049261083745,-0.2417973727422004,-1.7174179310344835,-0.3520064039408868,-1.9323431362889991,-0.263192972085386,-1.6659506568144506,-0.19010197044334987,-1.9323402298850576,-0.19010591133004934,-1.6699784072249595,-0.19010169129720866,-2.0942422660098527,-0.19010550082101813,-1.7444161412151074,-0.1901022988505748,-1.446631740558293,-0.19010614121510683,-1.4466642036124802,-0.1901022988505748,-1.446631740558293,-0.19010591133004934,-1.4466642857142864
AC,23.16514,46.1251,26.728624,44.803135,39.14593,39.147026,26.7288,44.71303,48.069435,48.069176,48.069435,48.069176,-0.6196200328407225,-3.486624958949097,-0.24260919540229886,-1.9600271264367823,-0.5611063382594418,-2.493449474548441,-0.26431633825944184,-1.9302669950738924,-0.35720968801313635,-2.289549917898194,-0.3571916912972086,-2.027170098522168,-0.5611034482758621,-2.6553457142857146,-0.265795894909688,-2.0102120361247953,-0.21068251231527102,-1.6573142528735638,-0.21068676518883425,-1.6573509688013144,-0.21068251231527102,-1.6573142528735638,-0.21068676518883425,-1.6573510509031206
AF,34.603146,39.120964,39.14578,39.208687,39.14578,39.147026,39.14579,39.147015,48.069447,48.069183,48.069447,48.069176,-0.431803842364532,-3.918428801313629,-0.3576196387520526,-2.317646765188835,-0.3572121510673235,-2.8506616256157646,-0.356179195402299,-2.2864461904761915,-0.3572121510673235,-2.6467620689655176,-0.3571916912972086,-2.3843617898193767,-0.3572119868637111,-3.012557701149426,-0.3571918719211823,-2.3674039080459774,-0.2106823152709361,-1.8679965681444999,-0.21068665024630545,-1.8680376190476198,-0.2106823152709361,-1.8679965681444999,-0.21068676518883425,-1.8680378160919549
