base_code,SP,SP_D,TCT,TCT_D,ST,ST_D,DG,DG_D,K,K_D,frac_diff_SP,cumulative_frac_diff_SP,frac_diff_SP_D,cumulative_frac_diff_SP_D,frac_diff_TCT,cumulative_frac_diff_TCT,frac_diff_TCT_D,cumulative_frac_diff_TCT_D,frac_diff_ST,cumulative_frac_diff_ST,frac_diff_ST_D,cumulative_frac_diff_ST_D,frac_diff_DG,cumulative_frac_diff_DG,frac_diff_DG_D,cumulative_frac_diff_DG_D,frac_diff_K,cumulative_frac_diff_K,frac_diff_K_D,cumulative_frac_diff_K_D
AA,13.830509,13.9323715,15.234631499999999,15.2345305,15.234634,15.234532999999999,15.234634,15.234532999999999,15.234634,15.234532999999999,-0.34140433333333337,-0.34140433333333337,-0.3365537380952381,-0.3365537380952381,-0.2745413571428572,-0.2745413571428572,-0.27454616666666665,-0.27454616666666665,-0.2745412380952381,-0.2745412380952381,-0.27454604761904766,-0.27454604761904766,-0.2745412380952381,-0.2745412380952381,-0.27454604761904766,-0.27454604761904766,-0.2745412380952381,-0.2745412380952381,-0.27454604761904766,-0.27454604761904766
AI,13.830508,13.932372,15.234629,15.234528,15.234626500000001,15.2345255,15.234629,15.234528,15.234626500000001,15.2345255,-0.34140438095238096,-0.6828087142857143,-0.33655371428571423,-0.6731074523809524,-0.2745414761904762,-0.5490828333333334,-0.27454628571428574,-0.5490924523809524,-0.2745415952380952,-0.5490828333333333,-0.2745464047619047,-0.5490924523809524,-0.2745414761904762,-0.5490827142857143,-0.27454628571428574,-0.5490923333333334,-0.2745415952380952,-0.5490828333333333,-0.2745464047619047,-0.5490924523809524
AP,13.830508,13.932372,15.234629,15.234528,15.234629,15.234528,15.234624,15.234523,15.234639,15.234538,-0.34140438095238096,-1.0242130952380952,-0.33655371428571423,-1.0096611666666666,-0.2745414761904762,-0.8236243095238096,-0.27454628571428574,-0.8236387380952381,-0.2745414761904762,-0.8236243095238095,-0.27454628571428574,-0.8236387380952381,-0.2745417142857143,-0.8236244285714286,-0.2745465238095238,-0.8236388571428572,-0.27454100000000004,-0.8236238333333333,-0.27454580952380947,-0.8236382619047619
AB,10.2996422,13.510378,11.063691,13.6597625,14.396315,14.396217,14.396315,14.396217,14.396317,14.396219,-0.5095408476190476,-1.533753942857143,-0.3566486666666667,-1.3663098333333332,-0.4731575714285714,-1.296781880952381,-0.3495351190476191,-1.1731738571428572,-0.3144611904761905,-1.1380854999999999,-0.31446585714285713,-1.1381045952380953,-0.3144611904761905,-1.1380856190476192,-0.31446585714285713,-1.1381047142857144,-0.31446109523809523,-1.1380849285714285,-0.3144657619047619,-1.1381040238095237
AG,6.8234596,13.245028000000001,14.3963185,14.39622,14.3963185,14.39622,14.396317,14.396219,11.063693,13.6597615,-0.6750733523809525,-2.2088272952380956,-0.36928438095238086,-1.7355942142857141,-0.31446102380952384,-1.6112429047619048,-0.3144657142857143,-1.4876395714285715,-0.31446102380952384,-1.4525465238095236,-0.3144657142857143,-1.4525703095238096,-0.31446109523809523,-1.4525467142857145,-0.3144657619047619,-1.4525704761904763,-0.47315747619047616,-1.6112424047619047,-0.3495351666666667,-1.4876391904761903
AJ,10.299638999999999,13.5103775,11.06368515,13.659762,14.396315,14.396217,14.396315,14.396217,14.3963205,14.396222000000002,-0.509541,-2.7183682952380956,-0.35664869047619047,-2.0922429047619047,-0.47315785000000005,-2.084400754761905,-0.3495351428571428,-1.8371747142857142,-0.3144611904761905,-1.7670077142857141,-0.31446585714285713,-1.7670361666666667,-0.3144611904761905,-1.767007904761905,-0.31446585714285713,-1.7670363333333334,-0.3144609285714286,-1.9257033333333333,-0.314465619047619,-1.8021048095238092
AS,10.2996432,13.5103785,11.063693,13.659764500000001,14.3963205,14.396222000000002,14.3963205,14.396222000000002,14.3963205,14.396222000000002,-0.5095408,-3.2279090952380955,-0.3566486428571429,-2.4488915476190476,-0.47315747619047616,-2.557558230952381,-0.3495350238095237,-2.186709738095238,-0.3144609285714286,-2.0814686428571427,-0.314465619047619,-2.081501785714286,-0.3144609285714286,-2.0814688333333335,-0.314465619047619,-2.0815019523809526,-0.3144609285714286,-2.240164261904762,-0.314465619047619,-2.1165704285714284
AX,6.8234606,13.2450285,14.396319,14.396221,11.063691,13.6597595,11.063691,13.6597595,11.063691,13.6597595,-0.6750733047619047,-3.9029824000000004,-0.3692843571428571,-2.8181759047619046,-0.314461,-2.872019230952381,-0.31446566666666664,-2.5011754047619044,-0.4731575714285714,-2.5546262142857143,-0.3495352619047619,-2.4310370476190477,-0.4731575714285714,-2.5546264047619047,-0.3495352619047619,-2.4310372142857144,-0.4731575714285714,-2.7133218333333335,-0.3495352619047619,-2.46610569047619
AC,6.849457,13.285059,6.849457,13.285059,10.662069500000001,11.472992999999999,13.698914,13.698819,13.698914,13.698819,-0.6738353809523809,-4.576817780952381,-0.3673781428571428,-3.1855540476190476,-0.6738353809523809,-3.545854611904762,-0.3673781428571428,-2.8685535476190474,-0.4922824047619047,-3.046908619047619,-0.45366700000000004,-2.8847040476190475,-0.34767076190476187,-2.9022971666666666,-0.3476752857142857,-2.7787125,-0.34767076190476187,-3.0609925952380954,-0.3476752857142857,-2.813780976190476
AD,6.7690383999999995,8.9855095,7.6252165000000005,9.2471615,7.6252165000000005,9.2471655,10.662069500000001,11.4729895,10.6620635,11.4729915,-0.6776648380952381,-5.25448261904762,-0.5721185952380953,-3.757672642857143,-0.6368944523809523,-4.182749064285714,-0.5596589761904761,-3.4282125238095236,-0.6368944523809523,-3.6838030714285717,-0.5596587857142857,-3.4443628333333334,-0.4922824047619047,-3.3945795714285714,-0.4536671666666666,-3.2323796666666667,-0.49228269047619044,-3.5532752857142857,-0.4536670714285715,-3.2674480476190473
